"ECM_ID","Temperature","Relative_Humidity","Ambient_Barometric_measure","ActiveStatus","CreatedDate"
"2","24.7*c","65.3%","757mm Hg","",""
"3","24.7*C","63.5%","757mmHg","",""
"4","24.7*C","63.5%","757mmHg","",""
"5","29*C","64%","752mmHg","",""
"6","24.7*C","64%","752mmHg","",""
"7","24*C","68%","753mmHg","",""
"8","24*C","68%","752mmHg","",""
"9","26*C","67%","752mmHg","",""
"11","23.5*C","66%","752 mmHg","",""
"12","24*C","68%","751mmHg","",""
"13","27* C","63%","754mmHg","",""
"14","30*C","61%","753mmHg","",""
"15","31*C","60%","754mmHg","",""
"16","28*C","62%","751mmHg","",""
"17","25*C","64%","757mmHg","",""
"18","26 ±2.5°C","35% to 70%","757mmHg","True","8/10/2016 11:00:38 AM"
